content,Class
"""  WILL MY MOTHERFUCKING SAFETY BE GUARANTEED???? I FUCKING HOPE SO!!! I'M BRINGING MY OWN FUCKIN' WEAPONS!! PAY ME WHEN I GET BACK MOTHERFUCKERS!!!  OH YEAH I'VE GOT A JOKE...A FAMILY (HUSBAND, WIFE, SON, DAUGHTER, DOG) WALKS INTO AN AGENT'S OFFICE AND TELLS HIM THAT THEY'VE GOT A GREAT VAUDEVILLE ROUTINE...HE SAYS """"WE DON'T HIRE KIDDY ACTS"""" AND THEY SAY """"BUT WE'RE REALLY GOOD!"""" AND SO THE AGENT SAYS """"FINE, LET ME SEE WHAT YOU'VE GOT, BUT IF YOU SUCK I'M THROWING YOU OUT""""...SO THE FAMILY GETS READY...THE DAUGHTER HITS THE CD PLAYER AND CIRCUS MUSIC BEGINS PLAYING, THE FATHER JUMP KICKS THE SON IN THE HEAD AND STOMS HIS FACE IN THE GROUND UNTIL IT'S A BLOODY PULP, THEN PROCEEDS TO JERK OFF AND CUM ALL OVER HIS SHATTERED SKULL.  MEANWHILE THE MOTHER BEGINS VIOLENTLY FINGER FUCKING THE DAUGHTER AS THE DOG FUCKS THE MOTHER IN THE ASS HOLE.  THIS IS THE POINT WHEN THE FATHER TAKES THE LEFTOVER BRAIN MATTER FROM THE SON'S HEAD AND SHOVES IT INTO THE MOTHER'S PUSSY, THEN BEGINS FUCKING HER PUSSY WHILE SIMULTANEOUSLY STICKING HIS FINGER DOWN THE DAUGHTER'S THROAT UNTIL SHE VOMITS ALL OVER THEM BOTH.  THEN THE DOG BITES THE MOTHER'S HAND OFF AS SHE'S FINGER FUCKING THE DAUGHTER, LEAVING HER HAND IN THE DAUGHTER'S PUSSY AS BLOOD SQUIRTS ALL OVER THE PLACE...THE FATHER TAKES BLOOD FROM THE GROUND, SMEARS IT ALL OVER THE MOTHER'S CHEST, BENDS OVER, AND BEGINS SHITTING ALL OVER THE OPEN WOUND WHERE HER HAND USED TO BE BEFORE THE DOG BIT IT OFF.  THEY TAKE THE DOG AND SHOVE IT IN A MICROWAVE, HEATING IT UP UNTIL IT EXPLODES, THEN TAKE THE DOG REMAINS, MIX IT WITH THE FATHER'S SHIT, THE SON'S HEAD WOUND, AND THE FATHER'S CUM, AND SHOVE IT INTO THE DAUGHTER'S MOUTH.  THEN THE FATHER RIPS THE SON'S DICK OFF AND FUCKS THE DAUGHTER WITH IT, AS THE MOTHER LOCATE'S THE SON'S TESTICLES, BREAKS THEM OPEN, AND DRINKS THE SPERM THAT COMES OUT.  THEN THE FAMILY LINES UP AND SAYS """"TA DA!""""...THERE'S SILENCE FROM THE AGENT, UNTIL HE FINALLY SAYS """"I LOVE IT!  WHAT DO YOU CALL THAT?""""...AND THE FAMILY SAYS """"WE CALL IT...THE ARISTOCRATS!""""""",Abusive
"Fuck you, Smith. Please have me notified when you die. I want to dance on your grave.",Abusive
"I shit on your face 

fuck you",Abusive
"Groin 

You sad fuck. I'm going to restore my edit, and you are going to leave it, or else I wil knee you in the groin yourself, prick. 91.108.208.101",Abusive
HE LIKES ITIN THE ASS BY MUHAMAD ALI AND KELLY HAS A GIANT PENIS AND ALSO FUCKED COLUMBUS,Abusive
Fuck off you murdering scum!!!,Abusive
"you gay motherfucker i know where you live,i am going to sand your face off,then i am to going to beat you to a pulp,you chicken shagger.",Abusive
you studid cock sucker u stop callin me ok its a frank Garrett eatin the worms crawl outa your moms pussy you fucking retardo hit I retardo,Abusive
. Fu ck ing trollreasons,Abusive
"Leave me alone! 

I told you already to leave me alone.why can't you fuck off and do your own fucking thing. Or do you find that hounding me is amusing. Id u do then you are a mothafuckin asshole and I will ban you.",Abusive
"Take care not to believe your own bullshit, see On Bullshit.  99.184.231.227",Abusive
"WOULDN'T BE THE FIRST TIME BITCH. FUCK YOU I'LL FIND OUT WHERE YOU LIVE, SODOMIZE YOUR WIFE AND THEN BURN YOUR HOUSE DOWN. FUCK YOU YOU FUCKING QUEER.",Abusive
"fuck you jzg 

i will have you removed as editor you stupid moron",Abusive
"""
 How about this """"GO FUCK YOURSELF.""""""",Abusive
"Fuck you faggot, I don't care if i get blocked, as long as everyone knows you are a dumb cunt.",Abusive
"Cavorting with Heretics 

Fuck Heretics!!!",Abusive
"This is your Dad sam 

I'm worried about you.

Worried that your cock wont fit in my ass anymore!, OMFK LOLZ HAHA I SAID PEEENIS GORF GORF GORF GORF",Abusive
"or any historical fact concerning current Armenia pertaining Wikiprojects. 
Keep your pathetic winking marks to your antiturkish ass.",Abusive
"i have a dick, its bigger than yours! hahaha",Abusive
watch out for user:xeno hell bite your dick off!!!!,Abusive
Fuck you people. The information of that can be found here [],Abusive
"GHE you're a fag. Learn it, know it!",Abusive
"Just a thought. 

Hey Jeremy,
Why don't you wash your vagina? Why do you insist on letting it smell like a musty pile of tuna? I'm tired of smelling it babe when we make love. I do you doggy style and the smell just pierces my nostrils. I have to turn away it disgust me so much. Also, wipe your ass a little better. I'm getting shit on my dick, and tht's fucking gross, you cunt.",Abusive
"Fuck you both, I'm not interested in what either of you think. ,",Abusive
"""

Lol dumb arabs and their """"you cant show my god, heres a bomb because I have sand in my vagina!"""" fucking towelheads""",Abusive
"SHUT UP, YOU FAT POOP, OR I WILL KICK YOUR ASS!!!",Abusive
"""

No!  This is a GROUP EFFORT!  Wikipedia is a collaborative COMMUNITY and there are no school essays here.  The article needs to be more professional and adopt a better title besides the references.  This is all that needs to be done, so get off your high horse and accomplish what you want to see done.  If you have these goals, then put yourself to the test of solving this problem.  That's what I do whenever something perturbs me.  You're just looking for a fight about something you admittedly care nothing about.  How about I come by your house and criticise your gardens?  """"Why?"""" You say.  """"Because they are too fucking ugly and I don't like the way they  don't blend in with the neighbours' yards.  So tacky, but I'm only passing by and I've never been down this road before.""""   15:24, 25 Feb 2005 (UTC)""",Abusive
"KISS MY DICK 

...ALL 3 OF YOU",Abusive
"You Need To Stop. 

What difference does it make if the episodes of ANY show have their own articles? You're acting like a major geek. Will WP collapse within itself if it's not perfect? I think the Joker said it best when he said:

THE ONLY SENSIBLE WAY TO LIVE IN THIS WORLD IS WITHOUT RULES

And don't EVEN try to tell me that WP would be terrible without rules. You can have moderators to stop vandalism, JUST STOP FUCKING REDIRECTING. It's getting on my nerves, along with about 75% of WP users.",Abusive
"To Blanchardb 

You dumb motherfucker I am going to sue the shit out of you. Watch your back.",Abusive
"""

-———————————————————————————————————————————————————————————-

Suck my dick. Thank you.   —talk/hist """,Abusive
"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker muthafucker. Fuck u u racist bitch. I hope u die.",Abusive
Bla bla bla....suck it Irishguy =),Abusive
Try the official website then - shit head!,Abusive
"""every other press agency said the crowd was chanting """"you're a tory too"""" only the daily mail which by the way is a tory paper reported that the croud chanted """"fucking tory jew"""" he is a dispicable scab but that is because of his politics not his liniage  

""",Abusive
fuck you and your small penis,Abusive
"RE: Moving Dragon Slayer to Dragon Slayer series 
Fuck Your Mother! You is Son of a Bitch!",Abusive
"Insult for MusikAnimal 
, you're a fucking shit, the reason that i'm insulting is because , fuck you Wikipedia.",Abusive
"You have no friends in real life, what makes you think anyone on the internet will like you?  Take the hint, you're an a-hole.",Abusive
"closedmouth is a DICK-FUCK 

this guy is a jackass who sux cock 4 a fuckin job y the fuck does the trans do it?????cuz its into tht kinda shit >:(",Abusive
"""

You have evidence from ME!  I presented you with tone of evidence, but you reject it because it goes against your fictional ideas of what New England is or should be.  Even eastern(southeast anyway) CT is not into this New England thing, which actually shocked me!  I have told you time and again, western CT does not think of ourselves in this NE thing.  Go to a town meeting and see if Boston or NE comes up.  CT and it's place in the NYC metro area is what comes up.  You are doing nothing but telling lies and spreading propaganda.  It has to be because you dismiss my actual facts and you make too many excuses that hold no water.  In my CT, there are no signs that point to New England or Boston.  Our signs point to New York state and city.

Also, how you people are not on this guy's ass like you are on mine?  """"I bet its cause we white folk from New England hate NYC Niggers, like this spick who posted above me. Go fuck yourself.—The preceding unsigned comment was added by 71.162.110.60 (talk • contribs).""""  

I can only assume because he is one of you and he at least still believe in New England with Boston as it's capital.  Get your head out of your ass.  Watch you block me for those comments.  If I get blocked, that guy (you? should be blocked. """,Abusive
Whos the douche that deleated all of the info and crap I really want to curse them out right now.,Abusive
"Mine dispeared, somebody wax my ass.",Abusive
"""

hey fuck you, who the fuck checks """"Phnom Nam Lyr Wildlife Sanctuary"""" for vandalism. Get a fucking life you turd bag""",Abusive
"72.94.188.92 

Yo what the fuck is your problem fucking around with my page! leave it the fuck alone!",Abusive
"{{unblock|WHAT THE FUCK?!?!?! The article on Anne Kilkenny was poorly written, I rewrote it so it didnt look like shit, look at my final edit you fucking dumbass.}}",Abusive
Hey idiot. I'm simply verifying the TRUTH. Mobile17 was NOT the first to have a ringtone maker online.. Brinked was. Do some fucking research before you remove my shit. Tired of you assholes removing my hard work I'm putting into making wikipedia a relevant page.,Abusive
"RE: 

Punk ass snitch, get the cock.",Abusive
"""

Oh right, like """"This article sucks and you know it."""" isn't abusive language. Hypocrite. Eat shit and die, loser.""",Abusive
"YOU ARE A FAGGOT
GET A LIFE 97.102.60.171",Abusive
Recent? You just a pussy.,Abusive
"YOUR ARE FUCKING GAY WAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 

I fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTI fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTI fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTI fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTI fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTI fucked your mum. OH WAIT YOUR GAY YOU DONT HAVE A MOM!!! HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL
CUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCUNTCU",Abusive
"Aaron Swartz 

Stop fucking reverting my goddamn edits!!! I think Aaron Swartz is a dumb-ass, and he should have been
killed a long time ago.  I know where you live; I WILL KILL YOU IF YOU REVERT ANY MORE PAGES!!!!!",Abusive
Why the hell did you fucking write that?! I can vandalize Wikipedia whenever I want!,Abusive
"My side of the story

Attention, douchebags and douchetees. I have been labled as a Terrorist on this site. BULL TO THE SHIT! I simply have a vast amount of knowlege on a wide range of topics. Scjessey, for example did not mention he is a fucking douchebag on his article. So I had to ammend this. I was simply trying to spread the truth. ALLLALLALALALALALAlAlALAALALAALALALALALAl. Sorry. I have to do that every 5 minutes or I go to hell. ALLALALALALALALALALALALALALALALLALALALALALLLALALALA ALLAH 4EVER!",Abusive
